id,prime_id,student_id,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8,prob9,prob10,prob11,prob12,prob13,prob14,prob15,prob16,prob17,prob18,prob19,prob20,prob21,prob22,prob23,prob24,prob25,prob26,prob27,prob28,prob29,prob30,prob31,prob32,prob33,prob34,prob35,prob36,prob37,prob38,prob39,prob40
7460,32,1865,2,3,2,4,1,1,3,4,4,2,3,3,4,1,2,3,1,2,4,3,1,2,4,1,1,,,,,,,,,,,,,,,
7461,29,1866,4,3,3,4,4,1,1,5,2,5,2,5,4,1,1,5,1,4,1,3,5,1,5,1,3,3,2,3,4,1,1,2,3,4,4,1,1,1,5,5
7462,30,1866,4,2,1,2,1,2,3,2,1,3,5,4,4,4,4,5,4,3,4,5,3,3,5,2,5,3,5,2,3,1,4,5,1,3,3,4,3,2,3,5
7463,31,1866,2,1,1,1,4,3,1,2,4,5,5,2,5,2,4,3,4,5,5,3,5,5,3,3,4,3,1,2,2,4,2,1,2,2,2,2,5,1,4,3
7464,32,1866,2,4,2,4,4,1,3,4,4,2,3,3,4,1,1,3,1,2,4,3,1,2,4,2,1,,,,,,,,,,,,,,,
7465,29,1867,4,5,3,4,3,1,3,3,5,5,2,2,4,1,1,5,1,4,2,4,4,1,2,3,3,2,2,3,4,4,1,5,3,4,4,1,1,1,3,2
7466,30,1867,4,2,1,2,1,5,3,2,1,3,5,5,2,2,4,5,4,3,1,2,3,1,5,2,5,3,5,4,3,1,2,2,4,5,3,4,3,5,1,5
7467,31,1867,2,1,3,5,4,5,1,4,2,5,5,2,3,3,2,1,4,5,5,3,3,2,3,3,4,3,1,2,4,5,4,1,2,4,3,3,5,1,4,3
7468,32,1867,2,1,2,4,3,1,3,4,4,2,2,3,4,3,3,3,1,2,4,3,1,2,4,2,1,,,,,,,,,,,,,,,
7469,29,1868,4,3,3,4,5,1,1,3,3,4,2,2,4,2,5,5,1,4,1,4,4,1,2,3,3,3,2,3,4,4,2,5,5,4,4,1,1,1,5,2
7470,30,1868,4,2,1,2,1,4,3,2,1,3,5,4,4,2,4,5,4,3,5,5,3,3,5,2,5,3,4,2,3,1,3,5,4,5,3,4,3,2,5,5
7471,31,1868,2,1,1,1,4,3,1,4,2,5,5,2,5,5,1,4,4,5,5,3,3,2,3,3,4,3,1,4,4,4,5,4,5,5,4,4,5,1,4,3
7472,32,1868,1,4,2,4,1,1,3,4,4,2,3,3,3,1,1,3,2,2,4,4,1,2,3,3,1,,,,,,,,,,,,,,,
7473,29,1869,4,3,3,2,3,1,2,5,4,4,2,2,4,2,1,5,1,3,1,4,4,1,5,2,5,4,2,3,5,4,1,2,3,4,4,1,3,1,5,2
7474,30,1869,4,2,1,2,1,4,3,2,1,3,5,2,2,2,4,5,4,3,4,2,3,3,5,2,5,3,5,2,3,5,4,4,3,5,3,4,3,2,1,3
7475,31,1869,2,1,5,2,4,3,1,4,1,5,3,2,2,3,4,2,4,5,5,2,3,5,3,2,4,3,1,2,4,4,2,3,2,4,5,1,5,1,4,3
7476,32,1869,2,1,2,4,1,1,3,4,4,2,3,4,3,1,1,3,1,2,4,3,1,2,2,2,1,,,,,,,,,,,,,,,
7477,29,1870,4,3,3,4,1,1,1,3,5,1,2,3,4,2,1,5,2,4,1,4,4,1,1,3,3,1,2,3,4,1,1,2,3,4,4,1,1,1,5,2
7478,30,1870,4,2,1,3,1,4,3,2,1,3,5,4,2,2,5,5,4,2,4,5,3,3,5,2,5,2,5,2,3,1,3,3,4,5,3,3,3,2,1,2
7479,31,1870,2,1,2,2,4,3,1,3,2,4,5,4,2,1,3,2,4,5,5,3,5,2,3,2,4,3,1,2,4,4,3,1,2,5,1,4,5,1,4,1
7480,32,1870,2,1,4,3,2,1,3,4,4,2,3,4,4,3,3,3,4,2,4,3,2,4,4,1,4,,,,,,,,,,,,,,,
7481,29,1871,4,5,3,4,3,1,1,5,5,2,2,2,4,1,1,5,1,4,1,4,4,1,2,3,3,2,2,3,4,1,5,5,3,4,4,1,1,1,5,2
7482,30,1871,4,2,1,2,1,1,3,2,1,3,5,4,2,2,4,5,4,3,3,2,3,3,3,2,5,4,2,2,3,4,4,3,5,5,3,3,3,2,1,4
7483,31,1871,1,1,1,5,4,3,1,5,2,3,5,2,5,2,1,2,4,5,5,3,3,2,3,3,4,4,1,2,4,5,4,1,5,4,1,4,5,1,4,3
7484,32,1871,2,1,3,4,2,1,3,4,4,2,2,3,3,3,1,3,4,2,2,3,3,2,3,1,1,,,,,,,,,,,,,,,
7485,29,1872,4,3,3,4,1,4,1,3,5,4,2,2,4,1,1,3,1,4,1,4,4,1,3,3,5,3,2,3,4,1,1,2,3,4,4,1,2,1,5,2
7486,30,1872,4,2,1,2,1,2,3,2,1,2,5,5,2,2,4,3,4,4,3,2,3,4,5,2,2,3,5,2,3,5,4,5,1,5,3,5,3,2,1,1
7487,31,1872,2,1,1,2,3,3,1,5,2,5,4,2,5,5,4,2,4,1,5,2,3,2,3,2,4,3,1,2,4,5,2,1,2,4,2,2,5,1,4,3
7488,32,1872,2,1,2,1,3,1,3,4,2,2,3,4,3,3,3,3,1,2,4,3,1,2,3,3,4,,,,,,,,,,,,,,,
7489,29,1873,4,3,3,4,4,4,2,3,5,4,2,2,4,2,1,1,1,4,1,4,4,1,5,3,5,2,2,3,1,1,2,2,3,4,4,1,3,1,5,2
7490,30,1873,4,2,1,2,1,2,3,2,1,3,5,4,5,5,5,5,4,3,4,5,3,3,5,2,5,3,2,2,2,1,5,5,1,5,3,4,3,2,5,5
7491,31,1873,2,1,1,5,2,3,1,4,2,3,5,4,4,3,4,4,4,2,5,3,3,2,3,2,4,3,1,2,4,5,4,4,5,4,4,4,5,1,4,3
7492,32,1873,2,1,2,4,1,1,3,4,4,2,3,4,4,1,1,3,1,2,4,3,1,2,3,2,1,,,,,,,,,,,,,,,
7493,29,1874,4,3,1,4,5,1,1,3,1,5,2,2,4,2,1,5,1,4,1,4,4,1,2,3,3,4,2,3,4,1,5,2,3,1,4,1,3,1,3,2
7494,30,1874,4,2,1,2,1,4,3,2,1,3,5,4,2,4,5,5,4,3,3,2,3,3,4,4,5,4,5,2,3,5,3,3,1,3,3,4,3,2,3,4
7495,31,1874,1,1,1,2,4,3,2,5,2,4,4,2,4,4,1,2,4,5,5,3,5,2,3,2,4,3,1,2,2,4,3,1,2,4,1,1,5,1,4,3
7496,32,1874,2,4,2,1,1,1,1,4,4,2,3,3,4,3,3,3,1,2,4,3,1,2,3,2,1,,,,,,,,,,,,,,,
7497,29,1875,4,3,3,4,1,1,2,3,2,3,2,5,4,2,1,5,5,4,5,4,4,1,3,4,5,2,2,3,1,4,1,2,3,4,4,1,3,1,5,2
7498,30,1875,4,2,1,2,1,3,3,3,1,3,5,4,2,2,4,5,4,3,5,5,3,3,5,2,5,2,5,2,3,1,4,3,5,2,3,4,3,2,1,2
7499,31,1875,2,1,1,1,4,3,1,1,2,3,2,2,3,1,4,4,4,5,5,3,3,2,3,3,4,3,1,2,4,4,5,1,3,4,2,5,5,1,4,3
7500,32,1875,2,3,2,4,1,1,3,4,4,2,3,3,4,3,4,3,2,2,4,3,1,2,4,2,1,,,,,,,,,,,,,,,
7501,29,1876,4,3,1,4,3,4,2,3,1,5,2,2,4,1,1,5,1,4,4,4,4,1,5,3,5,4,2,2,4,4,1,5,1,4,4,1,3,1,5,2
7502,30,1876,4,2,1,2,1,2,3,1,1,1,5,2,2,2,4,4,4,5,4,2,3,3,4,1,5,4,3,2,3,1,3,5,4,5,3,4,3,3,1,2
7503,31,1876,2,1,1,1,4,3,1,2,2,5,5,2,5,3,4,1,4,5,5,3,3,2,3,3,4,3,1,2,4,4,4,1,2,4,5,5,5,1,4,3
7504,32,1876,3,4,3,3,2,1,1,4,4,4,3,3,4,3,1,3,4,2,4,3,3,1,4,2,3,,,,,,,,,,,,,,,
7505,29,1877,4,3,3,4,1,1,2,3,1,5,3,3,4,2,1,5,1,4,1,4,5,1,2,3,3,2,2,3,4,1,5,2,3,5,4,3,1,1,5,2
7506,30,1877,4,4,1,2,1,4,3,1,1,1,5,5,2,2,5,5,4,3,4,2,3,3,5,2,5,3,5,2,3,5,2,5,1,5,3,1,3,4,2,5
7507,31,1877,2,5,1,5,4,3,1,5,2,5,5,2,5,2,4,1,4,5,5,5,3,2,3,2,4,3,1,5,4,4,3,1,2,5,5,5,5,1,4,2
7508,32,1877,2,1,2,4,1,1,3,4,4,2,3,1,4,3,3,3,1,2,4,3,1,2,4,2,1,,,,,,,,,,,,,,,
7509,29,1878,4,3,3,4,3,1,1,3,1,5,2,2,4,2,5,5,5,4,1,4,4,1,5,3,3,3,1,3,5,4,1,2,3,5,2,1,4,1,5,2
7510,30,1878,4,2,1,2,1,4,4,2,1,3,5,4,5,4,4,5,4,2,4,2,3,3,5,2,5,3,5,2,3,1,4,3,5,5,3,4,3,2,1,3
7511,31,1878,2,1,1,3,4,3,1,5,2,5,5,2,2,5,4,3,4,5,5,3,3,2,3,2,4,3,1,2,4,3,0,5,5,4,1,1,3,1,4,4
7512,32,1878,2,1,2,4,1,4,3,4,4,2,3,3,4,3,3,3,1,2,4,3,1,1,3,2,1,,,,,,,,,,,,,,,
7513,29,1879,4,3,3,4,1,4,5,5,1,3,2,1,4,2,1,5,1,4,1,4,4,1,5,3,3,5,2,2,2,2,1,2,3,4,4,1,1,1,5,2
